测试用例ID,测试功能,测试步骤,预期结果
TC001,创建用户-正常流程,1. 输入合法用户名和邮箱 2. 调用createUser 3. 检查返回结果,用户创建成功，状态为active，返回用户对象
TC002,创建用户-空用户名,1. 传入空字符串作为用户名 2. 调用createUser,抛出IllegalArgumentException异常
TC003,更新用户信息,1. 输入已存在的用户ID 2. 修改用户名和邮箱 3. 调用updateUser,用户信息更新成功，updatedAt被设置
TC004,删除用户,1. 输入已存在的用户ID 2. 调用deleteUser 3. 检查用户状态,用户状态变为deleted，deletedAt被设置
TC005,查询用户列表,1. 设置page=0和size=10 2. 调用listUsers,返回用户列表，分页正确
TC006,创建订单-正常流程,1. 传入有效用户ID和商品列表 2. 调用createOrder 3. 检查订单状态,订单创建成功，状态为pending，金额计算正确
TC007,创建订单-空商品列表,1. 传入空的商品列表 2. 调用createOrder,抛出IllegalArgumentException异常
TC008,取消订单,1. 传入pending状态的订单ID 2. 调用cancelOrder,订单状态变为cancelled
TC009,根据ID查询用户,1. 传入已存在的用户ID 2. 调用getUserById,返回对应的用户信息
TC010,根据ID查询订单,1. 传入已存在的订单ID 2. 调用getOrderById,返回对应的订单信息
